id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1308708510906032129,1308708510906032129,2020-09-23 15:33:18 India Standard Time,2020-09-23,15:33:18,+0530,250391704,ey_india,EY India,,RT @GTT68: .@EY_India is helping @MPIDC implement State &amp; District Business Reform Action Plan under #EaseofDoingBusiness for #MadhyaPrades…,en,"[{'screen_name': 'gtt68', 'name': 'gaurav taneja', 'id': '118279480'}, {'screen_name': 'ey_india', 'name': 'ey india', 'id': '250391704'}, {'screen_name': 'mpidc', 'name': 'mpidc', 'id': '1014774181186031616'}]",[],[],0,3,0,['easeofdoingbusiness'],[],https://twitter.com/EY_India/status/1308708510906032129,True,0,0,,,,,118279480,.@EY_India is helping @MPIDC implement State &amp; District Business Reform Action Plan under #EaseofDoingBusiness for #MadhyaPradesh to simplify and rationalize existing govt. processes &amp; rules across 17 depts. through business process reengineering &amp; streamlining @CMMadhyaPradesh,1308708444111659009,[],2020-09-23 15:33:02 India Standard Time,,,
1308673003748638721,1308673003748638721,2020-09-23 13:12:12 India Standard Time,2020-09-23,13:12:12,+0530,250391704,ey_india,EY India,,"RT @CNBCTV18News: Leaders need to re-imagine and re-wire their organisation culture for this ‘always-on’, virtual-hybrid world—balancing bu…",en,"[{'screen_name': 'cnbctv18news', 'name': 'cnbc-tv18', 'id': '631810714'}]",[],[],0,1,0,[],[],https://twitter.com/EY_India/status/1308673003748638721,True,0,0,,,,,631810714,"Leaders need to re-imagine and re-wire their organisation culture for this ‘always-on’, virtual-hybrid world—balancing business realities with a heightened need for human-centricity, write @EY_India 's Alpana Dutta and Surbhi Bajaj
https://t.co/nLpqblqypq",1308664868459827201,[],2020-09-23 12:39:53 India Standard Time,,,
1308609536845062144,1308609536845062144,2020-09-23 09:00:01 India Standard Time,2020-09-23,09:00:01,+0530,250391704,ey_india,EY India,,#EYForensics will be speaking at @Ethisphere’s 3rd Annual South Asia Ethics Summit on the changing role of Compliance Officers in disruptive times. Register here  https://t.co/KKLWRw9OTo  https://t.co/oHKLXl3Du7,en,"[{'screen_name': 'ethisphere', 'name': 'ethisphere', 'id': '14353224'}]",['http://spr.ly/6014GaXsk'],['https://pbs.twimg.com/media/EikdcFyXkAMBD1M.jpg'],0,1,2,['eyforensics'],[],https://twitter.com/EY_India/status/1308609536845062144,False,0,1,https://pbs.twimg.com/media/EikdcFyXkAMBD1M.jpg,,,,,,,[],,,,
1308398145907326976,1308398145907326976,2020-09-22 19:00:01 India Standard Time,2020-09-22,19:00:01,+0530,250391704,ey_india,EY India,,"Join senior professionals from EY and @SAPIndia for live #webcast on Wednesday, 23 September at 2 p.m. (IST) as they share their perspective and insights on preparedness of the new Tax Collected at Source (TCS) regime. Register now at  https://t.co/uGZVTHSkEU  https://t.co/iHZVU9b0hl",en,"[{'screen_name': 'sapindia', 'name': 'sap india', 'id': '325014410'}]",['http://spr.ly/6013GaZuU'],['https://pbs.twimg.com/media/EihdLgfWAAYWXM9.jpg'],0,1,3,['webcast'],[],https://twitter.com/EY_India/status/1308398145907326976,False,0,1,https://pbs.twimg.com/media/EihdLgfWAAYWXM9.jpg,,,,,,,[],,,,
1308367505732317186,1308367505732317186,2020-09-22 16:58:16 India Standard Time,2020-09-22,16:58:16,+0530,250391704,ey_india,EY India,,"Global organizations should have a technology centric approach when conducting forensic #investigations, strengthening #compliance and enhancing #integrity. Join #EYForensics speak at @TheACFE Fraud Conference Asia-Pacific. Register at  https://t.co/1XzFTQ2Pqy #FraudConf  https://t.co/YWpcOmSF4o",en,"[{'screen_name': 'theacfe', 'name': 'the acfe', 'id': '48743445'}]",['http://spr.ly/6015GaXY5'],['https://pbs.twimg.com/media/EihBUB0XsAIcb-2.jpg'],0,2,2,"['investigations', 'compliance', 'integrity', 'eyforensics', 'fraudconf']",[],https://twitter.com/EY_India/status/1308367505732317186,False,0,1,https://pbs.twimg.com/media/EihBUB0XsAIcb-2.jpg,,,,,,,[],,,,
1308292791349309442,1308292791349309442,2020-09-22 12:01:23 India Standard Time,2020-09-22,12:01:23,+0530,250391704,ey_india,EY India,,"Arindam Sen, EY India Partner, Consulting Services discusses how organizations are incorporating culture into the current scenario of remote working. Listen to the #podcast here  https://t.co/PwSSpW2gMT #COVID19  https://t.co/AaKFv7uVIs",en,[],['http://spr.ly/6019GarO7'],[],0,2,6,"['podcast', 'covid19']",[],https://twitter.com/EY_India/status/1308292791349309442,False,0,1,https://pbs.twimg.com/ext_tw_video_thumb/1308292638689300481/pu/img/Bg3z7XeoOw9Jy0Mq.jpg,,,,,,,[],,,,
1308028040987971584,1308028040987971584,2020-09-21 18:29:21 India Standard Time,2020-09-21,18:29:21,+0530,250391704,ey_india,EY India,,"Prashant Singhal (@TelcoWithPK) also released EY report 'From evolution to revolution' on #telecom infra at the @taipaoffical virtual summit today. The next decade is critical for the telecom industry, he said in his address  https://t.co/0C0kVPpfUZ",en,"[{'screen_name': 'telcowithpk', 'name': 'prashant singhal', 'id': '2607099188'}, {'screen_name': 'taipaoffical', 'name': 'taipaofficial', 'id': '1214847470926086150'}]",[],['https://pbs.twimg.com/media/EicMkmBWsAcYPN7.jpg'],0,3,6,['telecom'],[],https://twitter.com/EY_India/status/1308028040987971584,False,0,1,https://pbs.twimg.com/media/EicMkmBWsAcYPN7.jpg,,,,,,,[],,,,
1308025044639952903,1308025044639952903,2020-09-21 18:17:27 India Standard Time,2020-09-21,18:17:27,+0530,250391704,ey_india,EY India,,India has pioneered #telecom infrastructure sharing which is now a global hallmark: Prashant Singhal (@TelcoWithPK) at the @taipaoffical virtual conference today  https://t.co/KvQTGl2Vwd,en,"[{'screen_name': 'telcowithpk', 'name': 'prashant singhal', 'id': '2607099188'}, {'screen_name': 'taipaoffical', 'name': 'taipaofficial', 'id': '1214847470926086150'}]",[],['https://pbs.twimg.com/media/EicJwAAVgAAkzCe.jpg'],0,3,6,['telecom'],[],https://twitter.com/EY_India/status/1308025044639952903,False,https://twitter.com/taipaoffical/status/1307689670331957250,1,https://pbs.twimg.com/media/EicJwAAVgAAkzCe.jpg,,,,,,,[],,,,
1308019666254786561,1308019666254786561,2020-09-21 17:56:04 India Standard Time,2020-09-21,17:56:04,+0530,250391704,ey_india,EY India,,"The three farm Bills and the stimulus packages targeting the #agriculture sector are expected to address the supply-side challenges and keep food inflation in control, writes @EY_GovtPublic India Partner Satyam Shivam Sundaram (@sss1482)  https://t.co/2OotyYb9qh @moneycontrolcom  https://t.co/9NVltYloim",en,"[{'screen_name': 'ey_govtpublic', 'name': 'ey government public', 'id': '919107032'}, {'screen_name': 'sss1482', 'name': 'सत्यम् शिवम् सुन्दरम् (satyam shivam sundaram)', 'id': '102401979'}, {'screen_name': 'moneycontrolcom', 'name': 'moneycontrol', 'id': '68927629'}]",['http://spr.ly/6015GaB3P'],['https://pbs.twimg.com/media/EicE9IvWAAA0r47.jpg'],0,3,6,['agriculture'],[],https://twitter.com/EY_India/status/1308019666254786561,False,0,1,https://pbs.twimg.com/media/EicE9IvWAAA0r47.jpg,,,,,,,[],,,,
1307944819176726533,1307944819176726533,2020-09-21 12:58:39 India Standard Time,2020-09-21,12:58:39,+0530,250391704,ey_india,EY India,,Have you achieved the desired value from your contracts? Participate in our Survey 2020: Unlocking value and managing risks in contracts  https://t.co/mgC49c3LQi #contractmanagement  https://t.co/HHWXkEjws4,en,[],['http://spr.ly/6011GvfZz'],['https://pbs.twimg.com/media/EibA4cqXYAEoesj.jpg'],0,1,4,['contractmanagement'],[],https://twitter.com/EY_India/status/1307944819176726533,False,0,1,https://pbs.twimg.com/media/EibA4cqXYAEoesj.jpg,,,,,,,[],,,,
